interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
GigabitEthernet0/0,up,up,RP management port,78bc.1af2.52c0,78bc.1af2.52c0,,10.8.240.2/24,1500,Full Duplex,1000Mbps,RJ45,1000000 Kbit,10 usec,ARPA,0:00:00,0:00:00,never,fifo,4000,8000,138741600,125801012,0,0,,0
TwentyFiveGigE1/0/1,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5721,78bc.1af2.5721,[L2] BLR-9300-IDF7-SW1-TE1/1/1,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:04,0:00:03,never,fifo,6000,7000,109134940,233127669,0,0,,0
TwentyFiveGigE1/0/3,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5723,78bc.1af2.5723,[L2] BLR-9300-IDF6-SW1-TE1/1/1,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:20,0:00:00,never,fifo,1000,5000,158894901,216186253,0,0,,0
TwentyFiveGigE1/0/4,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5724,78bc.1af2.5724,[L2] BLR-9300-IDF6-SW1-TE5/1/1,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:18,0:00:00,never,fifo,0,2000,89219176,145123693,0,0,,0
TwentyFiveGigE1/0/5,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5725,78bc.1af2.5725,[L2] BLR-9300-IDF6-SW2-TE1/1/1,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:02,0:00:00,never,fifo,1228000,546000,44886162093,48184887950,0,0,,0
TwentyFiveGigE1/0/7,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5727,78bc.1af2.5727,[L2] BLR-9300-IDF6-S3-TE1/1/1,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:06,0:00:03,never,fifo,0,2000,22857051,107739452,0,0,,0
TwentyFiveGigE1/0/8,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5728,78bc.1af2.5728,[L2] BLR-9300-IDF6-S3-TE5/1/1,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:06,0:00:01,never,fifo,0,4000,6324613,162621090,0,0,,0
TwentyFiveGigE1/0/9,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.5729,78bc.1af2.5729,[L2] BLR-9300-IDF6-S4-TE1/1/1,,9216,Full-duplex,10Gb/s,SFP-10/25GBase-CSR,10000000 Kbit,10 usec,ARPA,0:00:08,0:00:03,never,fifo,105804000,102654000,1.0384E+11,1.22159E+11,0,0,,0
TwentyFiveGigE1/0/11,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.572b,78bc.1af2.572b,,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,0:00:02,0:00:03,never,fifo,75309000,66817000,22792679468,53028025612,0,0,,0
TwentyFiveGigE1/0/12,up,up (connected),Twenty Five Gigabit Ethernet,78bc.1af2.572c,78bc.1af2.572c,,,9216,Full-duplex,25Gb/s,SFP-10/25GBase-CSR,25000000 Kbit,10 usec,ARPA,0:00:01,0:00:04,never,fifo,8646000,55809000,28168333155,42724860250,0,0,,0
