interface,link_status,protocol_status,hardware_type,address,bia,description,ip_address,mtu,duplex,speed,media_type,bandwidth,delay,encapsulation,last_input,last_output,last_output_hang,queue_strategy,input_rate,output_rate,input_packets,output_packets,input_errors,crc,abort,output_errors
GigabitEthernet4/0/29,up,up (connected),Gigabit Ethernet,5ce1.76b5.749d,5ce1.76b5.749d,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1959000,50000,4097662628,1829169793,0,0,,0
GigabitEthernet4/0/31,up,up (connected),Gigabit Ethernet,5ce1.76b5.749f,5ce1.76b5.749f,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1942000,51000,3640635196,1702826443,0,0,,0
GigabitEthernet4/0/33,up,up (connected),Gigabit Ethernet,5ce1.76b5.74a1,5ce1.76b5.74a1,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:00,never,Class-based queueing,1961000,51000,2818351737,1521729886,0,0,,0
GigabitEthernet4/0/35,up,up (connected),Gigabit Ethernet,5ce1.76b5.74a3,5ce1.76b5.74a3,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,2035000,52000,2366164194,1478929717,0,0,,0
GigabitEthernet4/0/37,up,up (connected),Gigabit Ethernet,5ce1.76b5.74a5,5ce1.76b5.74a5,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,1750000,46000,4032289613,1721642734,0,0,,0
GigabitEthernet4/0/39,up,up (connected),Gigabit Ethernet,5ce1.76b5.74a7,5ce1.76b5.74a7,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,31w1d,0:00:00,never,Class-based queueing,1934000,49000,3265391173,1518926007,0,0,,0
GigabitEthernet4/0/41,up,up (connected),Gigabit Ethernet,5ce1.76b5.74a9,5ce1.76b5.74a9,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,1988000,49000,3212358011,1536615473,2,0,,0
GigabitEthernet4/0/43,up,up (connected),Gigabit Ethernet,5ce1.76b5.74ab,5ce1.76b5.74ab,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,2010000,48000,4080623594,1716927326,0,0,,0
GigabitEthernet4/0/45,up,up (connected),Gigabit Ethernet,5ce1.76b5.74ad,5ce1.76b5.74ad,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,2049000,51000,3991318723,1706864939,0,0,,0
GigabitEthernet4/0/47,up,up (connected),Gigabit Ethernet,5ce1.76b5.74af,5ce1.76b5.74af,,,1500,Full-duplex,100Mb/s,10/100/1000BaseTX,100000 Kbit,100 usec,ARPA,never,0:00:01,never,Class-based queueing,2119000,50000,4067297008,1722325676,16,15,,0
AppGigabitEthernet4/0/1,up,up (connected),App,5ce1.76b5.74c1,5ce1.76b5.74c1,,,1500,,,,1000000 Kbit,10 usec,ARPA,never,0:00:01,never,fifo,0,0,10,14199242,0,0,,0
GigabitEthernet5/0/1,up,up (connected),Gigabit Ethernet,5ce1.76b5.7f01,5ce1.76b5.7f01,,,1500,Full-duplex,1000Mb/s,10/100/1000BaseTX,1000000 Kbit,10 usec,ARPA,0:08:15,0:00:01,never,Class-based queueing,4000,2000,355000,1050217,0,0,,0
